Developer Type,Language,Percentage
Full-stack developer,JavaScript,93
Full-stack developer,HTML,87
Full-stack developer,CSS,86
Full-stack developer,SQL,71
Full-stack developer,C#,45
Full-stack developer,Bash/Shell,43
Full-stack developer,Java,35
Full-stack developer,Python,33
Full-stack developer,TypeScript,27
Full-stack developer,PHP,24
Full-stack developer,Ruby,16
Full-stack developer,C++,12
Full-stack developer,C,9
Full-stack developer,VB.NET,8
Full-stack developer,Go,7
Full-stack developer,CoffeeScript,5
Full-stack developer,Swift,5
Full-stack developer,Groovy,5
Full-stack developer,R,4
Full-stack developer,Scala,4
Full-stack developer,Perl,3
Full-stack developer,Objective-C,3
Full-stack developer,VBA,3
Full-stack developer,Visual Basic 6,3
Full-stack developer,Kotlin,2
Full-stack developer,Lua,2
Full-stack developer,Assembly,2
Full-stack developer,Haskell,2
Full-stack developer,Clojure,2
Full-stack developer,Matlab,2
Full-stack developer,F#,2
Full-stack developer,Rust,2
Full-stack developer,Delphi/Object Pascal,1
Full-stack developer,Erlang,1
Full-stack developer,Ocaml,1
Full-stack developer,Cobol,1
Full-stack developer,Hack,0
Full-stack developer,Julia,0
Front-end developer,JavaScript,96
Front-end developer,HTML,92
Front-end developer,CSS,93
Front-end developer,SQL,30
Front-end developer,C#,16
Front-end developer,Bash/Shell,36
Front-end developer,Java,20
Front-end developer,Python,20
Front-end developer,TypeScript,26
Front-end developer,PHP,26
Front-end developer,Ruby,11
Front-end developer,C++,5
Front-end developer,C,4
Front-end developer,VB.NET,2
Front-end developer,Go,3
Front-end developer,CoffeeScript,4
Front-end developer,Swift,3
Front-end developer,Groovy,1
Front-end developer,R,2
Front-end developer,Scala,1
Front-end developer,Perl,2
Front-end developer,Objective-C,1
Front-end developer,VBA,1
Front-end developer,Visual Basic 6,1
Front-end developer,Kotlin,1
Front-end developer,Lua,1
Front-end developer,Assembly,1
Front-end developer,Haskell,1
Front-end developer,Clojure,1
Front-end developer,Matlab,1
Front-end developer,F#,1
Front-end developer,Rust,1
Front-end developer,Delphi/Object Pascal,1
Front-end developer,Erlang,0
Front-end developer,Ocaml,0
Front-end developer,Cobol,0
Front-end developer,Hack,0
Front-end developer,Julia,0
Back-end developer,JavaScript,53
Back-end developer,HTML,42
Back-end developer,CSS,37
Back-end developer,SQL,55
Back-end developer,C#,26
Back-end developer,Bash/Shell,50
Back-end developer,Java,50
Back-end developer,Python,48
Back-end developer,TypeScript,8
Back-end developer,PHP,13
Back-end developer,Ruby,14
Back-end developer,C++,24
Back-end developer,C,19
Back-end developer,VB.NET,3
Back-end developer,Go,16
Back-end developer,CoffeeScript,3
Back-end developer,Swift,3
Back-end developer,Groovy,7
Back-end developer,R,4
Back-end developer,Scala,13
Back-end developer,Perl,6
Back-end developer,Objective-C,2
Back-end developer,VBA,1
