Magic row,Full-stack developer,Front-end developer,Back-end developer,Mobile developer,Student,System administrator,"C-suite executive (CEO, CTO, etc.)",Data scientist or machine learning specialist,Data or business analyst,DevOps specialist,Game or graphics developer,Embedded applications or devices developer,Product manager,Designer,Desktop or enterprise applications developer,Engineering manager,Marketing or sales professional,QA or test developer,Educator or academic researcher,Database administrator,Total Users
DevNumbers,1650,548,1160,439,579,70,96,250,141,124,45,171,41,18,181,140,16,141,63,28,5901
JavaScript,1540,524,619,176,302,28,75,63,38,78,16,48,28,8,76,97,9,77,18,10,3830
HTML,1435,503,489,137,318,37,68,80,51,63,16,44,25,8,63,85,13,72,26,13,3546
CSS,1412,507,430,132,284,29,70,67,42,57,14,35,24,8,50,81,11,56,23,8,3340
SQL,1173,167,641,86,131,26,61,150,112,73,7,30,26,3,64,86,9,67,16,25,2953
C#,738,90,302,60,119,18,31,18,23,28,21,36,11,4,99,49,5,45,7,10,1714
Bash/Shell,714,197,584,136,208,45,48,134,43,101,10,106,12,7,62,74,6,69,33,13,2602
Java,585,109,579,251,332,21,29,73,27,49,13,39,10,6,44,62,5,68,12,3,2317
Python,549,109,559,116,381,40,46,215,82,84,21,127,22,8,68,55,11,70,43,9,2615
TypeScript,448,144,94,27,15,3,14,3,1,11,0,4,0,0,16,21,2,9,2,1,815
PHP,403,144,149,35,73,18,24,9,9,25,4,16,4,2,7,21,5,17,7,5,977
Ruby,260,61,164,55,40,12,17,8,5,43,2,12,9,0,10,30,5,17,5,0,755
C++,205,27,273,63,228,8,19,52,16,16,29,121,8,7,91,28,2,17,19,4,1233
C,146,20,217,63,214,9,18,37,8,21,22,148,4,9,54,24,1,13,19,2,1049
VB.NET,139,9,32,2,12,6,3,4,4,4,0,4,2,0,15,8,1,4,0,1,250
Go,112,17,188,15,20,8,12,19,3,33,1,8,2,2,6,25,1,6,3,0,481
CoffeeScript,88,21,31,7,4,1,5,5,1,3,0,1,0,4,2,13,0,6,0,0,192
Swift,83,16,32,278,43,3,11,5,2,2,4,9,5,0,10,10,0,11,5,0,529
Groovy,82,5,86,33,3,3,2,7,0,24,0,1,0,1,3,6,0,10,0,1,267
R,70,13,51,2,54,5,9,140,64,6,1,0,7,0,9,12,3,10,20,3,479
Scala,58,6,154,3,18,1,3,47,4,4,1,0,2,1,3,15,0,2,0,1,323
Perl,57,13,65,6,6,15,5,9,8,22,4,12,1,2,12,8,1,7,3,3,259
Objective-C,52,7,18,259,16,1,10,2,1,4,4,11,4,1,12,8,0,3,2,0,415
VBA,50,5,13,2,25,6,2,16,47,3,0,2,5,0,16,4,1,7,1,4,209
Visual Basic 6,45,5,13,1,13,4,1,1,7,3,0,7,2,2,8,7,0,4,0,0,123
Kotlin,39,5,33,106,16,0,1,0,0,4,0,0,0,0,2,4,0,1,2,0,213
Lua,38,5,41,6,40,1,3,4,3,5,6,12,0,0,8,1,1,2,0,0,176
Assembly,37,8,67,10,94,7,4,12,4,2,5,67,2,4,11,5,0,4,5,1,349
Haskell,36,6,32,4,38,2,1,8,1,2,0,4,1,1,1,0,0,3,3,0,143
Clojure,35,3,35,4,11,0,1,5,1,4,0,0,0,1,2,2,0,0,2,0,106
Matlab,34,3,28,4,71,2,5,28,7,3,2,30,0,4,10,6,0,4,13,0,254
F#,34,3,21,4,6,0,3,1,1,0,0,0,0,1,4,2,0,1,0,0,81
Rust,30,4,62,2,34,3,7,9,0,3,3,10,0,0,4,5,0,2,2,0,180
Delphi/Object Pascal,17,4,4,0,3,1,1,0,0,1,0,1,0,0,12,2,1,1,1,1,50
Erlang,14,2,18,1,4,1,1,2,0,5,1,1,1,1,1,1,0,1,1,0,56
Ocaml,12,2,7,3,7,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,37
Cobol,12,1,4,0,2,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,25
Hack,5,0,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,15
Julia,5,0,4,0,6,0,2,11,1,0,0,4,0,0,3,0,0,0,4,0,40
